127.0.0.1 - - [17/Jul/2024:11:25:57 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [17/Jul/2024:11:26:00 +0530] "GET /CRM/index.jsp HTTP/1.1" 200 19500
0:0:0:0:0:0:0:1 - - [17/Jul/2024:11:26:00 +0530] "GET /CRM/assets/lib/flexslider/flexslider.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jul/2024:11:26:00 +0530] "GET /CRM/assets/lib/animate.css/animate.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jul/2024:11:26:00 +0530] "GET /CRM/assets/lib/components-font-awesome/css/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jul/2024:11:26:00 +0530] "GET /CRM/assets/lib/et-line-font/et-line-font.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jul/2024:11:26:00 +0530] "GET /CRM/assets/lib/magnific-popup/dist/magnific-popup.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jul/2024:11:26:00 +0530] "GET /CRM/assets/lib/simple-text-rotator/simpletextrotator.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jul/2024:11:26:00 +0530] "GET /CRM/assets/lib/bootstrap/dist/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jul/2024:11:26:00 +0530] "GET /CRM/assets/lib/jquery/dist/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jul/2024:11:26:00 +0530] "GET /CRM/assets/css/colors/default.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jul/2024:11:26:00 +0530] "GET /CRM/assets/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jul/2024:11:26:00 +0530] "GET /CRM/assets/lib/owl.carousel/dist/assets/owl.carousel.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jul/2024:11:26:00 +0530] "GET /CRM/assets/lib/owl.carousel/dist/assets/owl.theme.default.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jul/2024:11:26:00 +0530] "GET /CRM/assets/lib/bootstrap/dist/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jul/2024:11:26:00 +0530] "GET /CRM/assets/images/screenshots/agency.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jul/2024:11:26:00 +0530] "GET /CRM/assets/images/screenshots/main_demo.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jul/2024:11:26:00 +0530] "GET /CRM/assets/images/screenshots/portfolio.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jul/2024:11:26:00 +0530] "GET /CRM/assets/images/screenshots/restaurant.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jul/2024:11:26:00 +0530] "GET /CRM/assets/images/screenshots/finance.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jul/2024:11:26:00 +0530] "GET /CRM/assets/lib/jquery.mb.ytplayer/dist/jquery.mb.YTPlayer.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jul/2024:11:26:00 +0530] "GET /CRM/assets/lib/isotope/dist/isotope.pkgd.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jul/2024:11:26:00 +0530] "GET /CRM/assets/lib/owl.carousel/dist/owl.carousel.min.js HTTP/1.1" 304 -
